No,약어,영문/원문,한글 해석
1571,MLI,Manufacturing Leadership Index,Manufacturing Leadership Index
1572,MLK,Mto Lady Footlocker Childrens,Mto Lady Footlocker Childrens
1573,MLM,Manufacturing Leadership Management,Manufacturing Leadership Management → 제조 리더십 관리
1574,MLM,Manufacturing Leadership Meeting,제조 리더십 미팅
1575,MLM,Multi Level Marketing,다단계 판매
1576,MLO,Mto Lady Footlocker Other,Mto Lady Footlocker 기타
1577,MLP,Marketing Line Plan,Marketing Line Plan
1578,MLP,Manufacturing Leadership Partner,Manufacturing Leadership Partner
1579,MLQ,Mto Lady Footlocker Racquet,Mto Lady Footlocker Racquet
1580,MLR,Mto Lady Footlocker Running,Mto Lady Footlocker Running
1581,MLS,Manufacturing Leadership Summit,Manufacturing Leadership Summit
1582,MLW,Mto Lady Footlocker Walking,Mto Lady Footlocker Walking
1583,MM,Manufacturing Manager,Manufacturing Manager
1584,MM,Materials Manager,자재 매니저
1585,MM,Merchandise Mania,상품 매니아
1586,MM,Manufacturing Modernization,제조 현대화
1587,MM,Modernization Manufacturing,Modernization Manufacturing (현대화 제조)
1588,MM (Material Management),MM 모듈,MM module
1589,MMB,"공장의 요청 에 의해, 후속 미확정 오더를 미리 당겨서 나이키에 오더 이슈해 줄 것을 요청하여 접수한 오더",공장 요청에 따라 후속 미확정 오더를 앞당겨 나이키에 선발주한 오더
1590,MMB,Mid Month Buy,중순 구매
1591,MMB,Mto Sport Mart Basketball,Mto Sport Mart Basketball → MTO Sport Mart 농구
1592,MMCC,Mold And Model Creation Center,몰드 및 모델 제작 센터
1593,MMF,Mto Sport Mart Fitness,Mto Sport Mart Fitness
1594,MMK,Mto Sport Mart Childrens,Mto Sport Mart 아동용
1595,MMO,Mto Sport Mart Other,Mto Sport Mart 기타
1596,MMS,Mold Management System,금형 관리 시스템
1597,MMT,Materials Management Team,Materials Management Team
1598,MMX,Merch Man X,Merch Man X
1599,MNB,Mto Nordstrom Basketball,Nordstrom 농구 MTO
1600,MNC,Maintenance Committed,Maintenance Committed
1601,MNF,Mto Nordstrom Fitness/Training,Nordstrom 피트니스/트레이닝용 MTO
1602,MNK,Mto Nordstrom Kids,Mto Nordstrom Kids
1603,MNO,Mto Nordstrom Other,Mto Nordstrom Other
1604,MNQ,Mto Nordstrom Court,Mto Nordstrom Court
1605,MNR,Mto Nordstrom Running,Nordstrom 러닝 MTO
1606,MOA,Manufacturing Operations Assistant,Manufacturing Operations Assistant
1607,MOB,Mto Foot Action Basketball,Mto Foot Action Basketball
1608,MOC,Master Outer Carton,Master Outer Carton
1609,MOC,Manufacturing Operation Coordinator,Manufacturing Operation Coordinator
1610,MOD,Manufacturing Operations Director,제조 Operations Director
1611,MOF,Mold Order Form,Mold Order Form
1612,MOF,Mto Foot Action Fitness,Mto Foot Action Fitness
1613,MOF,Mold Of Form,Mold Of Form
1614,MOID,Model Offering Identification,모델 제공 구분
1615,MOIT,Ministry Of Industry And Trade,산업통상자원부
1616,MOK,Mto Foot Action Childrens,Mto Foot Action 아동용
1617,MOLISA,The Ministry Of Labor - Invalids And Social Affairs,노동·보훈사회부
1618,MOM,Method Of Making,Method Of Making
1619,MOM,Material Organization Manual,소재 정리 매뉴얼
1620,MOM,Manufacturing Operations Manager,Manufacturing Operations Manager
1621,Month-end closing,하나의 전기기간을 마감하기 위하여 수행되는 모든 업무.,All work carried out to close a single electrical period.
1622,MOO,Mto Foot Action Other,Mto Foot 기타 액션
1623,MOQ,Mto Foot Action Racquet,Mto Foot Action 라켓
1624,MOQ,Minimum Order Quantity,최소 주문 수량
1625,MOQA,Manufacturing Outbound Quality Audit,제조 출하 품질 감사
1626,MOR,Mto Foot Action Running,발 액션 러닝용 Mto 신발
1627,MOU,Memorandum Of Understanding,양해각서
1628,Movement type,"Material의 이동유형을 나타내는 key(예를들어, 입고, 출고, 물리적 재고이전). 이동 유형에 따라, 재무회계 시스템의 계정이 기표되는 방법과 material 마스터레코드 의 재고 필드가 갱신되는 방법을 결정하는 기표규칙(posting rule)이 달라진다.","Material의 이동 유형을 나타내는 key(예: 입고, 출고, 물리적 재고 이전). 이동 유형에 따라 재무회계 시스템의 계정이 기표되는 방법과 Material 마스터 레코드의 재고 필드가 갱신되는 방법을 결정하는 기표 규칙(posting rule)이 달라진다."
1629,Movement type (MM),"Material의 이동유형을 나타내는 key(예를들어, 입고, 출고, 물리적 재고이전). 이동 유형에 따라, 재무회계 시스템의 계정이 기표되는 방법과 material 마스터레코드 의 재고 필드가 갱신되는 방법을 결정하는 기표규칙(posting rule)이 달라진다.","Material의 이동 유형을 나타내는 key (예: 입고, 출고, 물리적 재고 이전). 이동 유형에 따라 재무회계 시스템의 계정이 기표되는 방식과 material 마스터 레코드의 재고 필드가 갱신되는 방식을 결정하는 기표 규칙(posting rule)이 달라진다."
1630,Moving average price,자재의 이동(Material movement) 및 송장의 입력(Invoice entry) 등에 의해 계속적으로 자재 가격이 변경되는 형태로 자재평가(Material valuation)에 이용됨.,"자재의 이동(Material movement) 및 송장 입력(Invoice entry) 등에 의해 자재 가격이 지속적으로 변경되는 방식으로, 자재평가(Material valuation)에 활용됨."
1631,MP,Master Plan,Master Plan
1632,MPB,Do Not Use - Mp Resv For Fcst,Do Not Use - Mp Resv For Fcst
1633,MPF,Do Not Use - Mp Resv For Fcst,사용 금지 - Forecast용 Mp 예약
1634,MPK,Do Not Use - Mp Resv For Fcst,사용 금지 - Fcst용 Mp 예약
1635,MPO,Do Not Use - Mp Resv For Fcst,Do Not Use - Mp Resv For Fcst
1636,MPPA,"Manufacturing Process Product Assessment<br />(구, FDPA + PEAC)","제조 공정 제품 평가<br />(구, FDPA + PEAC)"
1637,MPQ,Do Not Use - Mp Resv For Fcst,사용 금지 - FCST용 MP 예약
1638,MPR,Material Purchasing Representative,자재 구매 담당자
1639,MPR,Do Not Use - Mp Resv For Fcst,사용 금지 - Forecast용 Mp 예약분
1640,MPS,Minimum Performance Standard,최소 성능 기준
1641,MPU,Method Performance Utilization,Method Performance Utilization
1642,MPW,Do Not Use - Mp Resv For Fcst,사용 금지 - Forecast용 Mp 예약분
1643,MQA,Manufacturing Quality Audit,제조 품질 감사
1644,MQAA,Manufacturing Quality Assurance Audit,Manufacturing Quality Assurance Audit
1645,MR,Model Review,모델 리뷰
1646,MRA,Mold Release Agent,몰드 이형제
1647,MRB,Mto Sport Authority Basketball,Mto Sport Authority Basketball
1648,MRB,Maintenance Review Board,정비 검토 위원회
1649,MRC,Manufacturing Readiness Checklist,Manufacturing Readiness Checklist
1650,MRF,Mto Sport Authority Fitness,Mto Sport Authority Fitness
1651,MRK,Mto Sport Authority Childrens,Mto Sport Authority 아동용
1652,MRMeeting,Model Review Meeting,Model Review Meeting
1653,MRO,Mto Sport Authority Other,기타 스포츠 인허가 담당 부서
1654,MRP,Material Requirement Planning,자재 소요 계획
1655,MRP,Maximum Retail Price,Maximum Retail Price
1656,MRP controller,계획조직 내에서 Material 그룹에 대해 책임을 지는 담당자. 자재 소요량계획(MRP)의 대상이 되는 자재는 MRP controller에 힐당되어야 함.,계획 조직 내에서 Material 그룹을 책임지는 담당자. 자재 소요량 계획(MRP) 대상 자재는 MRP controller에게 할당되어야 함.
1657,MRP group,"MRP group은, 계획 제어파라미터를 할당하기 위해 자재소요량계획의 관점에서 material들을 함께 묶는다. 제어파라미터는, 예를들어, 계획 구간(planning horizon)이나 생성 지시자를 포함한다.",MRP group은 자재소요량계획 관점에서 material들을 묶어 계획 제어 파라미터를 할당하기 위한 그룹이다. 계획 제어 파라미터에는 예를 들어 planning horizon이나 생성 indicator 등이 포함된다.
1658,MRP indicator,지시자는 다음을 제어한다- 저장위치(storage location) 재고가 공장 레벨에서 MRP에 포함되는지- 저장위치(storage location) 재고가 MRP에 포함되지 않는지- 재고가 모든 저장위치에 대해 개별적으로 계획되고 MRP 리스트에 개별 영역으로 보여지는지,"지시자는 다음을 제어한다.  
- 저장위치(storage location) 재고가 공장 레벨에서 MRP에 포함되는지  
- 저장위치(storage location) 재고가 MRP에 포함되지 않는지  
- 모든 저장위치의 재고가 개별적으로 계획되며, MRP 리스트에서 개별 영역으로 표시되는지"
1659,MRP list,"Material 소요계획 결과를 표시. MRP 리스트는 소요의 직접적인 근거, 초기 재고, 동일 시간 축 상의 모든 입고와 출고를 보여준다.","Material 소요계획 결과를 표시. MRP 리스트는 소요의 직접적인 근거, 초기 재고, 동일 시간 축 상의 모든 입고와 출고를 보여준다."
1660,MRP profile,계획 목적으로 자재마스터레코드를 관리하는데 요구되는 데이터들의 집합. MRP 프로파일은 자재마스터의 관리를 용이하게 하며 다음 사항들을 결정한다- MRP 데이터 입력시 필요한 필드들- 이들 필드들에 채워지는 값- 이들 필드 값 중 수정이 가능한 것(기본값)과 가능하지 않은것(고정값).,"A set of data required to manage material master records for planning purposes. An MRP profile facilitates the management of the material master and determines the following:
- Fields required when entering MRP data  
- Values to be filled in those fields  
- Which of those field values are editable (default values) and which are not (fixed values)."
1661,MRP type,Material의 소요가 계획되어지는 방법과 정보를정보를 제공하는 지시자.,Material의 소요가 어떻게 계획되는지와 관련 정보를 제공하는 지시자.
1662,MRQ,Mto Sport Authority Racquet,Mto Sport Authority 라켓
1663,MRR,Mto Sport Authority Running,Mto 스포츠 Authority 런닝
1664,MRSL,Manufacturing Restricted Substance List,제조 제한 유해물질 목록
1665,MRT,Mean Response Time,Mean Response Time
1666,MRW,Mto Sport Authority Walking,Mto Sport Authority Walking
1667,MS,Merchandising Specialist,Merchandising Specialist
1668,MS,New Multi Source,New Multi Source
1669,MSB,Mto Generic Makeups Basketball,Mto Generic Makeups Basketball → MTO(Generic Makeups) 농구 품목
1670,MSDS,Material Safety Data Sheet,물질안전보건자료
1671,MSE,Manufacturing System Engineering,Manufacturing System Engineering -> 제조 시스템 엔지니어링
1672,MSF,Mto Generic Makeups Fitness,일반 메이크업 피트니스용 Mto
1673,MSI,Material Sustainability Index,소재 지속가능성 지수
1674,MSK,Mto Generic Makeups Children,Mto 제너릭 메이크업스 Children
1675,MSO,Mto Generic Makeups Other,Mto Generic Makeups Other
1676,MSO,Material Sourced Option,Material Sourced Option
1677,MSQ,Mto Generic Makeups Racquet,Mto Generic Makeups Racquet
1678,MSR,Mto Generic Makeups Running,Mto Generic Makeups Running
1679,MSR,Musical Size Run,Musical 사이즈 런
1680,MSRP,Manufacturers Suggested Retail Price,제조업체 권장 소비자가격
1681,MSSI,Mens Sports Style Innovation,남성 스포츠 스타일 이노베이션
1682,MSST,Model Size Stock Fit Trial,모델 사이즈 재고 핏 테스트
1683,MST,Model Size Trial,Model Size Trial
1684,MSW,Mto Generic Makeups Walking,Mto Generic Makeups Walking 생산용 제너릭 메이크업(워킹)
1685,MT,Model Trial,Model Trial
1686,MT,Metric Ton,"미터톤 (1,000kg)"
1687,MTB,Mto Athletes Foot Basketball,Mto Athletes Foot 농구화
1688,MTBF,Mean Time Between Failure,고장 평균 발생 간격
1689,MTC,Mold And Tooling Center,Mold And Tooling Center
1690,MTF,Mto Athletes Foot Fitness,Mto 무좀 피트니스
1691,MTF,Master The Fundamental,기초를 완전히 마스터하기
1692,MTK,Mto Athletes Foot Childrens,어린이 무좀용 Mto
1693,MTL,Manufacturing Team Leader,Manufacturing Team Leader
1694,MtM,Mind The Margin,Mind The Margin
1695,MTO,Mto Athletes Foot Other,무좀 기타
1696,MTO,Made To Order,주문 제작
1697,MTPE,Modified Thermoplastic Elastomer,개질 열가소성 엘라스토머
1698,MTQ,Mto Athletes Foot Racquet,Mto Athletes Foot Racquet
1699,MTR,Mto Athletes Foot Running,Mto 아틀리트 풋 러닝
1700,MTS,Material Tech Sheet,Material Tech Sheet
1701,MTTF,Mean Time To Failure,평균 고장 시간
1702,MTTR,Mean Time To Repair,평균 수리 시간
1703,MTW,Mto Athletes Foot Walking,Mto 발 무좀 워킹
1704,MTZ,Move To Zero,Move To Zero
1705,MUL,Material Usage List,Material Usage List
1706,Multi-level BOM,제품의 모든 assembly와 component를 리스트하는 BOM 레포팅 기능. BOM assembly에 포함되는 항목들은 assembly 바로 다음에 나타난다. 이들 항목들은 구조상에서 그들이 나타나는 레벨 번호가 주어진다.,제품의 모든 assembly와 component를 리스트하는 BOM 리포팅 기능. BOM assembly에 포함되는 항목들은 해당 assembly 바로 다음에 표시된다. 이 항목들은 구조상에서 나타나는 위치에 따른 레벨 번호가 부여된다.
1707,Multiple BOM,같은 제품에 대하여 material들의 다른 조합을 허용하는 여러개의 BOM을 갖는다.,같은 제품에 대해 서로 다른 자재 조합을 허용하는 복수의 BOM을 가진다.
1708,Musical Size Run,서로 다른 사이즈를 포장함,Packing different sizes together
1709,MVB,Mto Mervyns Basketball,Mto Mervyns 농구화
1710,MVF,Mto Mervyns Fitness,Mto Mervyns 피트니스
1711,MVK,Mto Mervyns Childrens,Mto Mervyns 아동용
1712,MVO,Mto Mervyns Other,Mto Mervyns 기타
1713,MVP,Minimum Viable Product,최소 기능 제품
1714,MVR,Mto Mervyns Running,Mto Mervyns 러닝
1715,MWB,Mto Famous Footwear Basketball,Mto Famous Footwear 농구
1716,MWF,Mto Famous Footwear Fitness,Mto Famous Footwear Fitness
1717,MWK,Mto Famous Footwear Childrens,Mto Famous Footwear Childrens
1718,MWO,Mto Famous Footwear Other,Mto Famous Footwear 기타
1719,MWQ,Mto Famous Footwear Racquet,Mto Famous Footwear Racquet
1720,MWR,Mto Famous Footwear Running,Mto Famous Footwear Running
1721,MXB,Mto Athlete Express Basketball,Mto Athlete Express 농구
1722,MXF,Mto Athlete Express Fitness,Mto Athlete Express Fitness
1723,MXK,Mto Athlete Express Childrens,Mto Athlete Express 아동용
1724,MXO,Mto Athlete Express Other,Mto Athlete Express 기타
1725,MXR,Mto Athlete Express Running,Mto Athlete Express Running
1726,MYB,Mto KohlS Basketball,Mto Kohl's 농구 라인
1727,MYF,Mto KohlS Fitness,Mto KohlS Fitness
1728,MYK,Mto KohlS Child,Mto KohlS Child
1729,MYO,Mto KohlS Other,Mto KohlS 기타
1730,MYQ,Mto KohlS Racquest,Mto KohlS Racquest
1731,MYR,Mto KohlS Running,Mto KohlS Running → KohlS 러닝 MTO
1732,,Not Available,해당 없음
1733,N30,Net For 30 Days,30일 후 결제 (Net 30일 조건)
1734,NAACP,"<p class=""MsoNormal""><span lang=""EN-US"" style=""font-family: 나눔스퀘어; mso-bidi-font-family: Calibri; color: black; mso-no-proof: yes;"">National Association for the Advancement of Colored People</span></p>",유색인종 지위 향상 전국 협회
1735,NACHA,National Automated Clearing House Association,전국 자동 결제 청산 협회
1736,NAF,Nike Air Freight,Nike Air Freight
1737,NAPC,North America Product Creation,북미 Product Creation
1738,NBHD,Neighborhood,Neighborhood
1739,NBR,Nitrile Butadiene Rubber,니트릴 부타디엔 고무
1740,NBY,Nike By You,Nike By You
1741,NC,New Crew,New Crew
1742,NCAT,NIKE Compliance Assessment Tool,NIKE Compliance Assessment Tool
1743,NCC,Nike Cost Calculator,Nike 비용 계산기
1744,NCCG,NCF Cost Coverage Guide,NCF 비용 커버리지 가이드
1745,NCF,Nike Costing Framework,Nike 원가 산출 프레임워크
1746,NCH,Nos - Cr - Hr,Nos - Cr - Hr (변경 없음)
1747,NCO,Isocyanate - Reactive Sites,Isocyanate - 반응성 부위
1748,NDA,Non-disclosure Agreement,비밀유지계약
1749,NEAT,Nike Environmental Action Team,Nike Environmental Action Team
1750,Negative stock,"Material이 재고의 일부로 이미 존재하지만, 관련 입고가 아직 처리되지 않았을 경우 발생할 수 있는 임시 재고 상황. 입고 전에 출고가 이루어지면, 재고는 마이너스 값을 갖게 된다.","A temporary inventory situation that can occur when a material already exists as part of stock, but the related goods receipt has not yet been processed. If an issue is made before the receipt is completed, the inventory will show a negative quantity."
1751,Negative stock (MM),"Material이 재고의 일부로 이미 존재하지만, 관련 입고가 아직 처리되지 않았을 경우 발생할 수 있는 임시 재고 상황. 입고 전에 출고가 이루어지면, 재고는 마이너스 값을 갖게 된다.",Material이 재고의 일부로 이미 존재하지만 관련 입고가 아직 처리되지 않았을 때 발생할 수 있는 임시 재고 상태. 입고 전에 출고가 이루어지면 재고는 마이너스 값이 된다.
1752,NEON,Nike European,Nike European
1753,NFBV,Nike Fuel B.V.,Nike Fuel B.V.
1754,NFC,Near Field Communication,근거리 무선 통신
1755,NFL,No Finish Line,No Finish Line
1756,NFRI,Nike Fiber Reduction Initiative,Nike 섬유 사용 절감 이니셔티브
1757,NFS,Nike Factory Store,Nike Factory Store
1758,NGO,Non Governmental Organization,비정부 기구
1759,NGS,New Generation Strobel,New Generation Strobel
1760,Nike,"Nike는 미국의 스포츠 의류 다국적 기업이다. 블루리본스포츠(Blue Ribbon Sports)란 이름으로 필 나이트와 빌바우어만이 1964년 처음 설립하였으며, 1978년 공식적으로 나이키란 이름으로 바뀌었다.현재 미국 오리건 주 포틀랜드에 본사가 위치해 있으며, 운동화, 운동복, 운동용품을 판매하고 있는 세계 최고의 스포츠 의류 다국적 기업이다","Nike is an American multinational sportswear company. It was first founded in 1964 by Phil Knight and Bill Bowerman under the name Blue Ribbon Sports, and was officially renamed Nike in 1978. Its headquarters are currently located in Portland, Oregon, USA, and it is the world’s leading multinational sportswear company selling sneakers, sportswear, and sporting goods."
1761,NIR,Near Infrared,근적외선
1762,NIS,Not In System,Not In System
1763,NITC,Nos Innovation And Training Center,Nos Innovation And Training Center
1764,NLD,Nos Line Definition,Nos 라인 정의
1765,NLO,Nike Liaison Office,Nike Liaison Office
1766,NLS,Nike Labeling System,Nike 라벨링 시스템
1767,NMCL,New Material Check List,신규 소재 체크리스트
1768,NMI,New Model Instruction,신규 모델 작업 지시
1769,NMM,Nike Multi-sourced Material,Nike 멀티 소싱 소재
1770,NMNC,New Model New Color,신규 모델 신규 컬러
1771,NMR,Near Miss Rate,사고 미발생률
1772,NNI,No Nike Inspection,나이키 검수 없음
1773,NNL,Nos Next Level,Nos Next Level
1774,NOF,Network of Future,Network of Future
1775,Non-stock item,"Material이 BOM에 component로 입력되고 재고로 보관되지 않는다면, ＂non-stock item＂ 항목범주를 사용한다. 비재고 항목에 대한 구매 요청이 생성된다.","If the material is entered as a component in the BOM and is not kept in inventory, use the “non-stock item” category. A purchase requisition will be created for the non-stock item."
1776,NOPLAT,Net Operating Profit Less Adjusted Tax,조정 세금 차감 후 순영업이익
1777,NOS,Novus Ordo Seclorum,새 시대의 새로운 질서
1778,NOS,Nike Operating System,Nike Operating System
1779,NPI,New Product Introduction,신제품 도입
1780,NPV,Net Present Value,순현재가치
1781,NQNC,"No Quality, No Company","No Quality, No Company"
1782,NR,Natural Rubber,천연 고무
1783,NRTC,Nike Recycling Technology Center,Nike Recycling Technology Center
1784,NSAP,New Sourcing Approval Process,새로운 소싱 승인 프로세스
1785,NSC,Nike Supply Chain,Nike Supply Chain
1786,NSCSAudit,Nike Supply Chain Security Audit,Nike 공급망 보안 감사
1787,NSK,Nike Sports Korea,Nike Sports Korea
1788,NSP,Nike Streaming Platform,Nike Streaming Platform
1789,NSRL,Nike Sports Research Lab,Nike Sports Research Lab
1790,NSSP,New Source Selection Process,신규 소싱 선정 프로세스
1791,NSW,Nike Sports Wear,Nike Sports Wear
1792,NTC,Nike Training Club,Nike Training Club
1793,NTN,Nike Trade Net,Nike Trade Net
1794,NTR,Normal Trade Relationship,Normal Trade Relationship
1795,NTU,Nike Tech University,Nike Tech University
1796,NTX,Nike Technology Excellence,Nike Technology Excellence
1797,NTX,기존 NTU (Nike Technology University)를 대신할 일종의 e-learning,기존 NTU (Nike Technology University)를 대체할 일종의 e-learning 플랫폼
1798,NVS,Nike Virtual Studio,Nike Virtual Studio
1799,NWA,Network-Wide Average,Network-Wide Average
1800,NWFA,Northwest Footwear And Apparel Show,Northwest Footwear And Apparel Show
1801,NXN,Nike Cross National,Nike Cross National
1802,O/AC,Outsole/Autoclave Compounds,Outsole/Autoclave 컴파운드
1803,O/EF,Outsole/Eva Foam,아웃솔/EVA 폼
1804,O/PUS,Outsole/Pu Solid,밑창/PU 솔리드
1805,O/RF,Outsole/Rubber Foam,겉창/러버 폼
1806,O/RS,Outsole/Rubber Solid,밑창/고무 솔리드
1807,O/S,Outsole,아웃솔
1808,O/TPS,Outsole/Thermoplastic Solid,Outsole/Thermoplastic Solid
1809,OA,Order Adjustment,주문 조정
1810,OBC,Olefin Block Copolymer,올레핀 블록 공중합체
1811,OBJ,Object,오브젝트
1812,OBS,Order By Size,Order By Size
1813,OBS,Observed Minutes,관찰된 분량(시간)
1814,OCF,Original Costing Framework,기존 원가 산정 프레임워크
1815,OCH,Other Cole Haan,기타 Cole Haan
1816,OCL,Offset Concept Last,Offset Concept Last
1817,OCM,Origin Cargo Management,Origin Cargo Management
1818,OCW,OGAC Collaboration Week,OGAC Collaboration Week
1819,OCW,OGAC Collaboration Worksheet,OGAC Collaboration Worksheet
1820,ODCY,Off Dock Container Yard,오프 도크 컨테이너 야드
1821,ODM,Original Development Manufacturing,Original Development Manufacturing
1822,ODM,Overall Defective Management,전체 불량 관리
1823,ODR,Oscillating Disc Rheometer,진동 디스크 레오미터
1824,OEE,Overall Equipment Effectiveness,Overall Equipment Effectiveness
1825,OEM,Original Equipment Manufacturing,주문자 상표 부착 생산
1826,OFAC,Office Of Foreign Asset Control,미국 재무부 해외자산통제국
1827,Offsetting entry,복식부기의 원리에 따라 거래를 기표하는 경우의 반대(상대)계정(차변이나 대변)의 입력.,Entry of the offset (corresponding) account (debit or credit) when posting a transaction in accordance with the principles of double-entry bookkeeping.
1828,OG,Original Gangster,Original Gangster
1829,OG/RS,Outsole Green/ Rubber Solid,Outsole Green/ Rubber Solid
1830,OGAC,Original Goods At Consolidator,집하처에 있는 원래 상품(오리지널 상품)
1831,O-GAC,Original Gac,Original Gac
1832,OH,Overhead,Overhead
1833,OH,On Hand,재고 보유량
1834,OHTA,Occupational Hygiene Training Association,직업 위생 교육 협회
1835,OIA,Oregon International Air Freight,Oregon International Air Freight
1836,OIM,Offshore Integration Meeting,오프쇼어 통합 미팅
1837,OJC,Other Jordon Collection,기타 Jordon 컬렉션
1838,OJT,On The Job Training,현장 직무 교육
1839,OLAP,On Line Analytical Process,온라인 분석 프로세스
1840,OLTP,On Line Transaction Process,온라인 트랜잭션 처리
1841,OMS,Order Management Systems,Order Management Systems (주문 관리 시스템)
1842,On-Premise,"기업의 서버를 클라우드 같은 원격 환경에서 운영하는 방식이 아닌, 자체적으로 보유한 전산실 서버에 직접 설치해 운영하는 방식을 의미.<br />온프레미스의 반대 의미인 클라우드 방식의 서비스를 오프 프레미스(Off-premise)라고 함.&nbsp;","기업의 서버를 클라우드 같은 원격 환경에서 운영하는 방식이 아닌, 자체적으로 보유한 전산실 서버에 직접 설치해 운영하는 방식을 의미.<br />온프레미스의 반대 의미인 클라우드 방식의 서비스를 오프 프레미스(Off-premise)라고 함.&nbsp;"
1843,OOH,Other Overhead,기타 간접비
1844,OOO,Out Of Office,부재중
1845,OOR,Outstanding Order Report,Outstanding Order Report
1846,OOT,Other Generic,기타 일반사항
1847,OP.Master,전사기준정보인 Mfg.process에 참조되는 routing 정보를 관리한다,전사기준정보인 Mfg.process에 참조되는 routing 정보를 관리한다
1848,Opening period,For planned order Order 생성일자와 계획 시작일자 사이의 작업일 수. 이 시간은 MRP 통제자(controller)가 계획오더(planned order)를 구매요청(purchase requisition)이나 생산오더(production order)로 전환하는데 유용하게 사용한다.,계획오더(Planned Order)의 생성일자와 계획 시작일자 사이의 작업일 수. 이 기간은 MRP Controller가 Planned Order를 Purchase Requisition이나 Production Order로 전환하는 데 활용한다.
1849,Operating concern,"CO의 PA(Profitability Analysis  판매특성별 손익분석) 모듈에서는 Operating Concern 이라는 최상위 조직단위를 사용한다. Operating Concern은 Controlling Area의 상위 코드로서, 회사나 Controlling Area 이상의 차원에서 PA를 활용한 손익분석이 가능하다.한편 회계자료의 집계 및 분석시에 재무회계(FI)상의 값과 관리회계(CO)상의 값을 Reconcile해 보는 것이 필요할 것인 바, Business Area, Cost Center/Profit Center가 각각 재무회계 및 관리회계를 위한 조직 단위라 하더라도 일정 수준에서는 Reconcile이 되어야 할 것이다. 따라서 Cost Center Hierarchy나 Profit Center Hierarchy상의 중간마디(Cost Center Group 또는 Profit Center Group)가 재무회계의 Business Area와 일치되거나, 같은 level이 되도록 형성하는 것이 일반적이다. (사업부나 사업본부 등의 level이 될 것임)","CO의 PA(Profitability Analysis  판매특성별 손익분석) 모듈에서는 Operating Concern 이라는 최상위 조직단위를 사용한다. Operating Concern은 Controlling Area의 상위 코드로서, 회사나 Controlling Area 이상의 차원에서 PA를 활용한 손익분석이 가능하다.한편 회계자료의 집계 및 분석시에 재무회계(FI)상의 값과 관리회계(CO)상의 값을 Reconcile해 보는 것이 필요할 것인 바, Business Area, Cost Center/Profit Center가 각각 재무회계 및 관리회계를 위한 조직 단위라 하더라도 일정 수준에서는 Reconcile이 되어야 할 것이다. 따라서 Cost Center Hierarchy나 Profit Center Hierarchy상의 중간마디(Cost Center Group 또는 Profit Center Group)가 재무회계의 Business Area와 일치되거나, 같은 level이 되도록 형성하는 것이 일반적이다. (사업부나 사업본부 등의 level이 될 것임)"
1850,Operating time,"기계등 생산능력이 효과적으로 작업할 수 있는 시간. 조업시간은 실제작업시간, 휴식, 조업률(capacity utilization)로 구성된다.","The time during which machines and other production capacities can operate effectively. Operating time consists of actual working time, breaks, and capacity utilization."
1851,Operation Master,전사기준정보를 활용하여 운영되는 기준정보로 Mfg.process의 3레벨까지 관리한다,전사 기준정보를 기반으로 운영되는 기준정보로서 Mfg.process를 3레벨까지 관리한다.
1852,OPQ,Output Quality,산출물 품질
1853,OQC,Output Quality Control,Output Quality Control
1854,OR,Origin Receipt,원산지 영수증
1855,ORD,OGAC Collaboration Work,OGAC Collaboration Work
1856,ORD,Origin Receipt Date,원본 입고일
1857,Order,Company 조직 내에서 일을 수행하기 위한 Object로 다음과 같은 사항들을 기술함.- 어떠한 Task를 실행할 것인가?- 언제 Task를 실행할 것인가?- Task 실행을 위해 무엇이 필요한가?- 오더에 관련된 비용 처리는 어떻게 할 것인가?,"Company 조직 내에서 업무를 수행하기 위한 Object로, 다음 사항들을 정의함.  
- 어떤 Task를 수행할 것인가?  
- 언제 Task를 수행할 것인가?  
- Task 수행을 위해 무엇이 필요한가?  
- 오더와 관련된 비용 처리를 어떻게 할 것인가?"
1858,Order proposal,"자재소요량계획시 부족(shortage) 수량이 발생할 경우 생성되는 MRP element. Order proposal은 시스템에 계획 order나 구매 요청, delivery schedule의 형태로 저장된다","Material Requirements Planning 시 부족(shortage) 수량이 발생할 경우 생성되는 MRP element. Order proposal은 시스템에 계획 order, 구매 요청 또는 delivery schedule 형태로 저장된다."
1859,Order settlement,오더에 대해서 부분적으로 또한 전체적으로 대변에 기입하는 작업. 오더에 대해서 발생된 비용들은 하나 또는 여러 개의 항목으로 재무 또는 관리회계에서 사용되는 여러 개의 계정에 나뉘어져 차변에 기입됨.,오더에 대해서 부분적으로 또한 전체적으로 대변에 기입하는 작업. 오더에 대해서 발생된 비용들은 하나 또는 여러 개의 항목으로 재무 또는 관리회계에서 사용되는 여러 개의 계정에 나뉘어져 차변에 기입됨.
1860,Order type,"목적에 따라 오더를 구분하기 위해 사용되며, 다음과 같은 종류가 있음.- Production order- Maintenance order- Marketing order- Capital expencityre order","목적에 따라 오더를 구분하기 위해 사용되며, 다음과 같은 종류가 있음.  
- Production order  
- Maintenance order  
- Marketing order  
- Capital expenditure order"
